Y_test,Y_pred,accuracy
臺灣 北 政府 說 這 唱歌 O K 林 <MUMBLE> 真 三 月 最後 真 消防 檢測 安全 完成 完 申請 維修 未 開始 批准 這 開始 安排 真 文 說 暫停 工作 要 現在 檢測 要 ,臺灣 北 政府 說 這 唱歌 O K K <MUMBLE> 真 三 月 月 真 真 檢測 安全 努力 完 飛機 接受 開始 批准 這 開始 安排 真 餐廳 說 工作 要 現在 檢測 要 ,0.43243243243243246
D S E 一 四 個 裡面 重要 知 寬 現在 肺 發炎 影響 一 樣 仍然 考試 ,D S E 一 四 個 裡面 重要 低 低 現在 肺 發炎 影響 一 樣 仍然 考試 ,0.8888888888888888
說 完 內地 部 部 部 等 等 各種 ,說 完 內地 澳門 低 低 等 等 各種 ,0.6666666666666666
今 星期 部分 時間 陽光 早上 熱 會 今 星期 六 星期日 濕 濕 早上 霧 有,今 星期 部分 時間 陽光 早上 熱 會 今 星期 六 幾 濕 濕 早上 濕 有,0.8823529411764706
傳染 中 心 研究 止 三 月 中 傳染 仍然 低 機會 接觸 禁止 有 用,傳染 中 心 心 談 三 月 中 傳染 仍然 低 機會 接觸 希望 有 瓜,0.75
的士 這 人 排隊 等 車 等 來 來,主要 這 人 醫院 等 朋友 等 來 來,0.6666666666666666
五 月 一 期間 一 星期 北京 舊 屋 多 開 開 限制 人 入 參觀 真 人 限制 有,五 月 一 期間 一 星期 北京 經濟 屋 多 開 開 限制 人 入 入 真 人 限制 有,0.9
繼續 新聞 時間 關於 看 沙田 真 情況 看,繼續 新聞 時間 關於 看 機構 真 情況 看,0.8888888888888888
今 警察 即 開咪 說 說 說 甚麼 全部 今 人 散開 散開 散開 散開 要,今 警察 即 拘捕 說 說 說 甚麼 全部 今 人 安全 幫 期間 上升 要,0.6875
影響 我 觀察 控制 能 估,影響 我 好 控制 能 估,0.8333333333333334
但是 真 全部 政府 錢 用 我 會 不 浪費 不 真 香港 今 <MUMBLE> 負 借 超 三 百 八 十,但是 真 全部 政府 錢 選 我 會 不 低 不 真 香港 今 <MUMBLE> 環境 短 超 三 百 八 十,0.8181818181818182
病 病 肺 炎 比較 嚴重 可能 要 吸入 氧氣,病 病 肺 炎 比較 嚴重 可能 要 機會 接觸,0.8
防 防 平衡 有 另 條件 包括 歲 一 八 至 五 五 男 重 要 六 五 K G 以上 長 病 沒 通過 血 捐 能,防 防 定 有 另 Q 包括 歲 一 八 至 五 五 飛機 菲律賓 要 六 五 K T 環境 長 病 沒 基本 明白 明白 能,0.6785714285714286
一 一 零 萬 人 超 証實 肺 炎 美國 這 批准 名字 名字 德 給 幫 醫治 某些 新型冠狀 肺 炎 病 病 人 專 擔心 影響 身體 會,一 一 零 萬 人 超 証實 肺 炎 美國 這 批准 名字 名字 德 給 幫 幫 某些 屋 肺 炎 病 病 人 山 擔心 影響 努力 會,0.8666666666666667
沙灘 這 多 帳篷 帳篷 一 點 五 米 隔開 沒 有 部分 超 四 人 聚集,昨天 這 多 低 機會 一 點 五 點 州 沒 有 部分 超 四 人 聚集,0.7058823529411765
印度 新冠 肺 炎 控制 不能 二 千 六 百 人 傳染 感染 肺 炎 真 現在 新 高 即 變 穩定 南韓 星期 三 開始 經濟 恢復 活動,印度 新冠 肺 炎 控制 不能 二 千 六 百 人 傳染 下 肺 炎 真 現在 新 高 即 變 變 單據 星期 三 開始 經濟 恢復 活動,0.896551724137931
外 股票 指數 經濟 基金 全部 計算 計算 內 真 損失 勁 金 管 屋 說 真 給 樓 樓 減 計劃 沒,外 外 外 經濟 即 全部 計算 計算 內 真 真 期間 開 來 屋 說 真 給 接受 平 減 計劃 沒,0.6086956521739131
現在 準備 請看 香港 今 加 一 新冠 肺 炎 入,現在 準備 請看 香港 今 加 一 新冠 肺 炎 入,1.0
香港 今 有 關 新 一 新冠 肺 炎 美國 返,香港 今 有 關 新 一 新冠 肺 炎 美國 返,1.0
另 送院 病 人 過程 會 看 看 人 手 安排 病 病 計算 醫 屋 內 防 防 病 或者 安排,另 接觸 病 人 過程 會 看 看 人 經濟 安排 病 病 計算 醫 屋 內 防 防 病 或者 安排,0.9090909090909091
三 起名 好像 車 壞 了 希望 第 二 日期 期間 正面 不,三 好 好像 即 船 活動 希望 第 二 比 期間 期間 不,0.5384615384615384
香港 股票指數 降下 幾 千 點 真 現在 兩 星期 內 降下 勁,香港 某人 歲 幾 千 點 真 現在 兩 星期 內 降下 經濟,0.7692307692307693
立 法 會 影響 勁,今日 法 會 影響 機會,0.6
影片 一 五 分鐘 百 幾 萬 看 全部 看 <MUMBLE>,昨天 一 五 風 百 幾 萬 看 全部 看 <MUMBLE>,0.8181818181818182
估 計算 計算 雲 多 熱 最 低 二 八,估 計算 計算 雲 多 熱 最 低 二 八,1.0
真 海洋公園 今 方法 新 恢復 變 立 法 會 談 有 組 意見 有 名字 華 知道 全部 看 看 海洋公園 關閉 不喜歡,真 真 今 方法 新 恢復 變 緊急 法 會 談 有 組 歐洲 有 名字 大家 接受 全部 看 看 看 關閉 單據,0.7083333333333334
內 有 全部 一 千 零 六 十 貨品 全部 重 三 四 <MUMBLE> 全部 四 千 七 百 五 十 萬,內 有 全部 一 千 零 六 十 小時 全部 感覺 三 四 <MUMBLE> 全部 四 千 七 百 五 十 萬,0.9090909090909091
仍然 上升 肺 炎 有,仍然 上升 肺 炎 有,1.0
真 警察 拘捕 三 人 級 一 殺 店鋪 戴口罩 要 壓力 大,真 警察 拘捕 三 人 生活 一 個 店鋪 風 要 安全 大,0.6923076923076923
天氣 情況 雲 多 部分 有 雨 雨 雷,天氣 情況 雲 多 部分 有 雨 雨 部分,0.8888888888888888
降下 再 起立 最後 保安 扶起 走 強 真 問 問 擔心 C 私下 控告 會不會 他 說 要 再 處理,送醫 再 方法 明天 開 接觸 走 強 真 努力 計劃 擔心 C C 控告 接受 他 說 要 再 處理,0.5714285714285714
勞工 福利 屋 領袖 名字 羅 下 一 星期 準備 詳細 申請 程序 如何 再 看 情況 這 反應 第 二 申請 內容 這 再 決定,説 福利 屋 領袖 名字 L 下 一 星期 準備 低 申請 暫時 如何 再 看 情況 這 歐洲 第 二 飛機 暫時 這 再 決定,0.7307692307692307
兩 大廈 大廈 街 街 全部 店鋪 負責 化驗 會 哪裡 地方 傳染 兩 大廈 大廈 內 三 留 估 傳染 不要,兩 大廈 大廈 比 菜 全部 店鋪 負責 化驗 會 努力 地方 傳染 兩 零 大廈 內 三 留 估 傳染 不要,0.8181818181818182
逛街 警察 一 樣 灣仔 情況 一 樣 類似,飛抵 警察 一 樣 好 情況 一 樣 經濟,0.6666666666666666
考慮 有 放 放 限制 限制 包括 下星期 重複 開 商場 買 新 星星 加 六 七 五 新 有 關 新冠 肺 炎 關於 甚麼 外 請 宿舍 二 萬 五 千 人 傳染 肺 炎 有,控告 有 歲 歲 限制 限制 包括 經濟 重複 開 開 買 新 經濟 加 六 七 五 新 有 關 雲 肺 炎 關於 甚麼 外 請 宿舍 二 萬 五 千 人 傳染 肺 炎 有,0.8157894736842105
不能 堅持 催促 催促 過程 處理 地鐵 系統 做 做 跟 沒,不能 船 接觸 接觸 過程 處理 開會 開會 做 做 門 沒,0.5
各位 準備 請看 上 網 發起 下午 去 去 去 聚合 將軍 O 東 港 城 拘捕 拘捕 八 人 非法 聚集 打 警察 幹涉 警察 工作,昨天 準備 請看 上 上 上 申請 去 去 去 低 港 O 東 港 港 拘捕 拘捕 八 人 聚集 聚集 打 警察 等 警察 工作,0.6666666666666666
兩 學生 星期 三 晚上 入 沙 田 飲 破壞 粉 山 審判,兩 散播 星期 三 陽光 入 控制 經濟 經濟 經濟 經濟 談 審判,0.38461538461538464
研究 導彈 厲害 起名 厲害 導彈,飛抵 保 稱為 明天 明天 明天,0.0
目的 準備 六 月 六 前 說 會,飛抵 準備 六 月 六 前 說 會,0.875
英國 消息 說 美國 國 防 組 消息 說 如果 美國 內地 十 年 後 這 圓形 海 爆發 爆發 美國 失敗 防 臺灣 不能 不能,英國 喜歡 說 美國 國 防 組 消息 說 如果 美國 內地 十 年 後 這 電腦 接受 接受 爆發 美國 歐洲 防 歐洲 不能 不能,0.7692307692307693
L 全部 票 能 勝利 當選 多謝 全部 支持 信,L 全部 數 能 延後 當選 開會 全部 支持 信,0.7
保 工作 計劃 有 分 限期 限期 第 一 六 月 至 八 月 接受 申請 期間 六 月 十 四 能,保 工作 計劃 有 雲 經濟 經濟 第 一 六 月 至 八 月 接受 申請 期間 六 月 十 四 能,0.8636363636363636
內地 有 力 變 現在 情況,內地 有 一起 變 現在 情況,0.8333333333333334
舉手 真 違法 有 真 半 比賽 名字 雲 傳球 名字 保 傳球 錯誤,昨天 真 真 有 真 半 陽光 名字 雲 上 名字 上 上 上,0.5
教育 屋 政府 說 批評 考試 批評 歷史 組 取消 這 林 月 說 管理 要 負責 政府 幹涉 寃枉,教育 屋 政府 說 健康 考試 健康 健康 組 人人 這 聚集 月 說 管理 要 負責 政府 立 國,0.65
現在 旅遊 會 有 一 千 七 百 幾 登記 會員 如果 肺 炎 持續 可能 之後 有 多 旅遊 公司 關閉 關閉 <MUMBLE>,現在 旅遊 會 有 一 千 七 百 幾 好 好 如果 肺 炎 炎 可能 買 有 多 旅遊 公司 關閉 關閉 <MUMBLE>,0.8333333333333334
客 人 減 四 十 百分比 希望 肺 新冠 減少 放 放 命令 命令 限制 限制 客 人 人流 能,因為 人 減 四 十 百分比 希望 肺 新冠 減少 減少 職員 命令 命令 限制 限制 喫飯 人 點 能,0.75
保安 屋 領袖 名字 L 超 說 下 一 星期 召 召 提醒 提醒 委員 會 管理 警察 會 反對 修改 法 報告 評估 建議,裁判 屋 領袖 名字 L 超 說 下 一 星期 星期 期間 提醒 提醒 委員 會 管理 警察 會 短 發展 法 報告 接受 法,0.72
菜 英文 開 第 二 政府 出任 期間 說 全部 穩定 真 未來 發展,菜 英文 開 第 二 政府 要求 期間 說 全部 下 真 未來 發展,0.8571428571428571
菜 英文 另 名字 德 早上 宣誓 領袖 副 領袖 跟 法 規則 負責 做,菜 英文 另 名字 德 早上 上 德 上 申請 申請 法 規則 負責 做,0.6666666666666666
有 某人 外 幹涉 香港 事 真 仍然 拒絕 堅持 一 樣,有 某人 外 不知道 香港 家 真 仍然 低 低 一 樣,0.6666666666666666
空氣 質素 健康 請看 降下,飛抵 這裏 健康 請看 降下,0.6
過程 過程 我 估 第 一 影響 香港 現在 法 內 獨立 不 另,你 過程 我 估 第 一 影響 香港 現在 法 內 減少 不 另,0.8571428571428571
國 家 某些 破壞 安全 意思 一般 普通 行為 人人 不,國 家 某些 某些 安全 減少 一般 提醒 裡面 人人 不,0.6363636363636364
例如 吸毒 好 超 不好 全部 真 不合理 全部 看 知道 意思 超 已經 教育 道 德 限制,昨天 明天 好 超 好 全部 真 留 全部 看 風 意思 超 好 D 電腦 上 限制,0.5
時間 快 晚上 有 柴灣 綠 商場 舉起 旗 <MUMBLE> 標語,時間 快 晚上 有 陽光 接觸 商場 接觸 接觸 <MUMBLE> 機構,0.5454545454545454
軍人 科學 研究 病 毒 真 再 <MUMBLE> 新 冠狀 肺 打針 指 三 月 開始 一 期 期間 試驗 武漢 有 一 零 八 歲 一 八 至 六 十 身體健康 參加,昨天 晚上 管 病 毒 真 再 <MUMBLE> 新 冠狀 肺 發炎 有關 三 月 開始 一 次 期間 期間 武漢 有 一 零 八 萬 一 八 至 六 十 個,0.696969696969697
政府 領袖 名字 比 說 急 情況 命令 命令 封關 封關 封關 加 長 六 月 尾 仍然,政府 全球 名字 比 說 小時 情況 命令 命令 封關 封關 封關 加 長 六 月 長 仍然,0.8333333333333334
名字 名字 路 有 關 交界 路 前 有 關 黑 衣 鐵 欄 拿出 真 破壞 交通 燈,名字 名字 明日 有 關 店鋪 經濟 前 有 關 經濟 經濟 經濟 暫時 暫時 真 真 接受 接受,0.42105263157894735
有 關 有 關 指向 甚麼 支持 反對 各種 不能 有 關 爭吵 主題 演講 意見 要 小心 想 清楚 評估 要 超 真 處理 合理 要 不能,有 關 有 關 經濟 甚麼 支持 反對 各種 不能 有 關 關 經濟 演講 接受 要 小心 想 發展 小心 要 超 真 處理 I 要 不能,0.75
唱歌 O K 有 組 組 屋 屋 有 星期 四 即將 開 能 中 三 至 中 五 恢復 上課 看 學校 準備 如何,唱歌 O K 有 組 組 屋 屋 有 星期 四 下 開 能 中 三 至 中 五 恢復 上課 看 學校 準備 如何,0.96
我 決定 要 做 我 想 如何 反對 會 外 交 組 說 堅持 一 國 兩 制 對於 仍然 主 權力 決定 變 不 <MUMBLE> 記 訪問,我 決定 要 做 我 想 如何 反對 會 外 澳門 組 說 幫 一 國 兩 天 大 仍然 主 權力 決定 變 不 <MUMBLE> 減少 訪問,0.8214285714285714
留意 兩 規則 但是 忘記 一 國 重要,昨天 兩 規則 但是 控制 一 國 重要,0.75
首先 時間 背景 一定,飛抵 時間 建築 稱為,0.25
如果 全部 罪 定 合理 懷疑 沒 第 三 一般 法 規則 行為 違法,如果 全部 布 定 定 開會 沒 第 三 一般 法 規則 裡面 接受,0.6428571428571429
美國 如果 取消 香港 特別 身份 影響 香港 會不會,美國 如果 超市 香港 開 行動 影響 香港 安全,0.5555555555555556
第 一 次 有 現在 立 法 會 議員 加 入 問 問 責任 組 工 聯 阿 有 關 勞工 福利 屋 副 領袖,第 一 次 有 現在 的士 法 會 減少 加 入 風 計劃 期間 組 暫時 聯 接受 有 關 創造 創造 屋 歐洲 請,0.56
內地 真 世界 新聞 說 內地 準備 最 壞 情況 美國 壓 內地 失敗 不 自 弱 會,內地 真 世界 新聞 說 內地 準備 最 控制 情況 美國 壓 內地 澳門 不 自 接受 會,0.8333333333333334
吹 南 西 南 未來 兩 天 三 天 天氣 熱 部分 時間 有 陽光,昨天 南 西 南 未來 兩 天 三 天 天氣 熱 部分 時間 有 陽光,0.9333333333333333
香港 首次 有 醫療 救 負責 新冠肺炎 有 以前 送到 醫院 女 肺炎 女 她 兩 個 同事 一 樣 証實 肺炎 有,香港 某人 有 陽光 接觸 負責 王 有 以前 經濟 自由 分開 分開 分開 少 兩 個 紀念 一 樣 証實 山 有,0.4782608695652174
<MUMBLE> 病 情況 檢測 看不到 可能,<MUMBLE> 病 情況 檢測 看不到 可能,1.0
衞生 防 中 心 指派 有 兩 個 結婚 住 沙田 祿泉樓 負責 全部 樓 內 病毒 檢測 清理 工作 加強 持續,衞生 防 中 心 心 有 兩 提醒 散播 住 低 低 負責 全部 安靜 內 接受 檢測 清理 工作 環境 隔離,0.5909090909090909
考慮 <MUMBLE> 影響 香港 自 美國 有 貿易 喫虧 會,控告 <MUMBLE> 影響 香港 自 美國 有 藏起 經濟 會,0.7
陳茂波 說 <MUMBLE> 說 人民銀行 支持 保衛 聯繫匯率 仍然,昨天 說 <MUMBLE> 說 留 支持 低 低 仍然,0.5555555555555556
星期 一 高 一 年級 高 小 四 年級 一致 事實 準備 復課 <MUMBLE> 學校 多 如果 跟隨 清理 可能 復課 機會 能,星期 一 高 一 個 高 有關 四 經濟 經濟 分開 準備 經濟 <MUMBLE> 學校 多 如果 歐洲 清理 可能 歐洲 機會 能,0.6521739130434783
世界 衞生 會員 全部 同意 同意 新 冠 獨立 調查 科技 組 現在 病 爆發 內地 高 看 嚴 加 研究,世界 衞生 健康 全部 每個 同意 新 冠 州 調查 低 組 現在 病 州 內地 高 看 嚴 加 回應,0.7142857142857143
有 步驟 <BAD> 記 簽名,有 生意 <BAD> 減少 機會,0.4
有 關於 主 民 團體 擔心 有 關於 早 決定 <X> 保安 屋 <MUMBLE> 名字 葉 L 說 英國 以前 有 政府 負責 資料 蒐集,有 關於 主 上 上 擔心 有 關於 提醒 決定 <X> 開 屋 <MUMBLE> 名字 L L 說 英國 以前 有 政府 負責 主 接受,0.72
煽動 未來 星期日 工作 放棄 讀書 放棄 我 其實 不開心,昨天 未來 資助 工作 跟 讀書 訪問 我 其實 不要,0.5
多 <X> 試過 去 區域 區域 食物 貨 批准 開始 關閉 開始 緊急 情況 人 接觸 試過 酸 檢測 現在 有 四 十 六 証實 有 肺 發炎,多 <X> 各種 去 區域 區域 雨 貨 區域 開始 關閉 開始 人流 情況 人 接觸 接觸 目的 檢測 現在 有 四 十 六 証實 有 肺 發炎,0.7857142857142857
名字 滿 區域 區域 新 貨 批准 切 三 魚 砧板 檢測 有 新冠病毒 肺炎 有 北京 四 川 超市 或者 日本 餐廳 暫時 賣 三 魚 不,名字 L 區域 區域 新 貨 批准 經濟 三 控制 低 檢測 有 肺 期間 有 北京 四 橫式 電腦 或者 日本 餐廳 暫時 賣 三 歐洲 不,0.6785714285714286
真 <MUMBLE> 遠 十 八 <BAD> 公里 超級市場 真 貨 海鮮 區域 全部 暫停 三文魚,真 <MUMBLE> 開始 十 八 <BAD> 好 機會 真 貨 目的 區域 全部 聚集 接受,0.6
三 二 一 說 開始 關閉 <BAD> 四 個 月 完 海洋公園 重複 開 入 特別 規則 處理 管理,三 二 一 說 開始 關閉 <BAD> 四 個 月 完 期間 重複 開 入 開 規則 處理 管理,0.8947368421052632
美國 總統 特朗普 同意 要 鎖喉 方法 <BAD> <BAD> 捉 不要 但是 特別 情況 一 樣 要 仍然 鎖喉 能,美國 美國 生意 同意 要 機會 方法 <BAD> <BAD> <BAD> 不要 但是 開 情況 一 樣 要 仍然 低 能,0.7
真 破壞 中 小 公司 喘息 時間,真 真 中 補 公司 開會 時間,0.5714285714285714
影響 香港 <X> 跟著 基本法 條例 <X> 有 法 現在 法 條例 權力 最後 審判 權力 影響 不,影響 香港 <X> <X> 接觸 跟 <X> 有 法 現在 法 控制 權力 區域 審判 權力 影響 不,0.7222222222222222
學校 話 出席 <BAD> <BAD> 八 十 巴仙 左右 因為 擔心 肺 發炎 入 學校 不要 致電 父母 完成 如果 擔心 能,學校 聚集 外 <BAD> <BAD> 八 十 點 比 比 擔心 肺 發炎 入 學校 不要 停 接受 接受 如果 擔心 能,0.6363636363636364
真 方便 不 看到 內地 澳門 現在 一 半 錢 或者 四 分 一 便宜,真 反對 不 請 內地 澳門 現在 一 半 錢 或者 四 武漢 一 便宜,0.8
立 法 會 選舉 人 <X> 如果 <X> 反對 香港 安全 法 條例,今日 法 會 機會 人 <X> 如果 <X> 反對 香港 安全 法 控制,0.7692307692307693
減 衞生 危險 <X> 全部 <X> 現金 不要 最 好 <X> 要 求 新 貨,減 衞生 危險 <X> 全部 <X> <X> 不要 最 好 <X> 要 求 新 貨,0.9333333333333333
參加 計劃 <MUMBLE> <X> 貼 門外 貼 貼 這 原來 給 人 看 記得 知道 能 三 月,昨天 計劃 <MUMBLE> <X> 機會 接觸 接觸 接觸 這 機構 給 人 看 安全 期間 能 三 月,0.5555555555555556
現在 溫度 三 十 濕度 七 十 五 百份比,現在 溫度 三 十 濕 七 十 五 冠,0.7777777777777778
歷史 問題 影響 香港 多 法官 有 雙重 或者 多 國 護照 一刀切 外國 居留權 有 情況 不,昨天 不要 影響 香港 多 桌 有 雙重 或者 多 國 經濟 經濟 外國 暫時 有 情況 不,0.6666666666666666
保護 甚麼 全部 十 四 億 人民 安全 問題,保護 甚麼 全部 十 四 巴仙 比 安全 問題,0.7777777777777778
條文 未 寫 完成,昨天 大約 自 土生土長,0.0
想 長 管理 首先 要 尋找 基本 這 哪裏來 想 目的 線 內地 甚麼 反叛 政 權 管理 不 變 會 好像 臺灣,想 長 管理 新冠 要 控制 控制 這 等 想 目的 申請 內地 甚麼 接受 接受 權 管理 不 變 會 好像 聯,0.6521739130434783
名字 密 根 州 多 超 一 百 幾 船 船 湖 船 船 聚集 派對 口罩 沒 分開 沒,名字 L 控制 州 多 超 一 百 幾 船 船 生活 船 船 聚集 聚集 口罩 沒 分開 沒,0.8
永遠 監禁 不 消息 說 條文 <X> 比較 另 地區 規則,昨天 明天 不 跟 說 留 <X> 檢疫 另 選 規則,0.45454545454545453
北京 外國 交流 部門 說 有關 香港 問題 表現 不好 美國 人 簽證 限制 限制 美國 有關 有關 香港 建議 專門 垃圾,北京 外國 課 冠冕 說 有關 香港 問題 低 好 美國 人 騙 限制 限制 美國 有關 有關 香港 建議 歐洲 匯報,0.6818181818181818
但是 分析 說 片段 可能 加 兩 <MUMBLE> <X> 懷疑 戰爭,但是 懷疑 說 餐廳 可能 加 兩 <MUMBLE> <X> 請看 目的,0.6363636363636364
真 法 規則 剛剛 說 <X> 誰 懷疑 感覺 有 但是 時間 <BAD> 事 真 証實 能 立 法 立法 反對 一 國 兩種不同規則 沒 這 法 規則 ,真 法 規則 點 說 <X> <X> 經濟 感覺 有 但是 時間 <BAD> 不妥 真 証實 能 約 法 立法 短 一 國 個 沒 這 法 規則 ,0.75
真 我 好像 嚇 <MUMBLE> 我 怕 不 ,真 我 好像 低 <MUMBLE> 我 控制 不 ,0.75
我 現在 歧視 內地 政府 保護 主 權利 決定,我 現在 好 內地 政府 保護 主 控制 決定,0.7777777777777778
意大利 A 有 關於 名字 雲 真 三 至 一 打敗 這 名字 亞 世界 真 名字 C 踢球 ,意大利 A 有 關於 名字 雲 真 三 至 一 零 這 名字 L 世界 真 名字 C 努力 ,0.8421052631578947
多 國 留意 關於 香港 安全 規則 這 開始 剛才 北京 控告 控告 這 美國 幹涉 目的 最後 失敗 會 <BAD> 指出 錯誤 英國 再次 指出 錯誤 英國 真 <MUMBLE> 違反 以前 同意 真 違反 有 ,多 國 機會 關於 香港 安全 規則 這 開始 機構 北京 想 控告 這 美國 幹涉 飛 美國 接受 會 <BAD> 安全 安全 英國 歐洲 接受 接受 英國 真 <MUMBLE> 最後 以前 同意 真 有 ,0.6111111111111112
現在 我 計劃 有 現在 我 星期 星期 前 我 說 完 我 會 最後 修改 好 快 一起 考慮 加入 會 <MUMBLE> 好像 英國 這 機會 給 會 ,現在 我 計劃 有 現在 我 星期 星期 前 我 說 完 我 會 聚集 聽 好 快 快 考慮 加入 會 <MUMBLE> 好像 英國 這 機會 給 會 ,0.896551724137931
現在 溫度 三 一 濕 七 三 百分比 ,現在 溫度 三 一 濕 七 三 百分比 ,1.0
消息 說 加 六 入 入 病 包括 一 駕駛 飛機,因為 說 加 六 入 入 病 包括 一 個 飛機,0.8181818181818182
困難 定 社區 完美 沒 不能夠,困難 定 申請 開會 沒 問題,0.5
想 <MUMBLE> 內地 政府 香港 政府 限制 限制,想 <MUMBLE> 內地 政府 香港 政府 限制 限制,1.0
八 月 再 警察 屋 我 報到 男 客人 釋放 能 無線電視 記者,八 月 再 警察 屋 我 控制 自由 上 上 能 命令 記者,0.6153846153846154
美國 政府 權力 特朗普 說 內地 現在 立法 香港 安全 法 考慮 兩 至 三 計劃 對於 內地 行動 準備 幾 天 會 說,美國 政府 權力 開 說 內地 現在 澳門 香港 安全 法 考慮 兩 至 三 計劃 期間 內地 喫飯 準備 幾 天 會 說,0.8333333333333334
政府 最少 五 七 六 萬 申請 了,政府 多次 五 七 六 萬 飛機 經濟,0.625
自 老闆 重複 新 招聘 員工 不 政府 錢 收回 會,自 盡快 明星 新 冠冕 員工 不 政府 錢 低 會,0.6363636363636364
英國 傳染 英國 傳媒 報道 武漢 病毒 傳染 研究 年 二 零 一 三 雲 南 發現 新冠 肺 炎 接近 病 毒 研究 回答 沒,英國 傳染 英國 經驗 管 武漢 俄羅斯 傳染 拘捕 年 二 零 一 三 雲 南 發現 新冠 肺 炎 炎 病 毒 山 回答 沒,0.7692307692307693
現在 溫度 三 十 濕 百分比 七 八,現在 溫度 三 十 濕 百分比 七 八,1.0
公 屋 <BAD> 權 名字 鄭 關於 跟 法 規則 處理 工作 負責 有 關於 權,飛抵 屋 <BAD> 權 名字 L 關於 跟 法 規則 處理 工作 負責 有 關於 權,0.875
政府 建議 現在 七 月 開始 入 工作 政府 負責 要 宣誓 簽署 保護 基本 法 規則 跟 政府 現在 工作 安排 一 樣 複製,政府 建議 現在 七 月 開始 入 工作 政府 負責 要 控制 期間 保護 基本 法 規則 接受 政府 現在 工作 安排 一 樣 取,0.84
委員 會 調查 報告 名字 C 以前 政府 權 以前 梁 英 溝通 有 答應 梁 英 要 求 他 確定 文件 給 委員 會,委員 會 調查 報告 名字 C 以前 政府 權 以前 開 主 主 有 區域 生意 主 要 求 他 求 歐洲 給 委員 會,0.68
監督 喫 餐廳 或者 玩 各種 地方 限制 限制 今日 再次 限制 期間 日 十 四 ,昨天 晚上 餐廳 或者 控制 各種 地方 限制 限制 留 經濟 限制 期間 日 十 四 ,0.6875
香港 今日 再次 加 <BAD> 冠狀病毒 肺 發炎 全部 計算 二 八 裡面 有 十 六 傳染 本地 另 三 十 三 現在 証實 肺 發炎 有 ,香港 某人 某人 加 <BAD> 冠狀病毒 肺 發炎 全部 計算 二 八 裡面 有 十 六 傳染 本地 另 三 十 三 現在 証實 肺 發炎 有 ,0.9259259259259259
包括 職員 招聘 飛機 各種 ,包括 醫院 明星 飛機 各種 ,0.6
有 富有 不 我 隨便 搬走 搬走 不能 ,有 生意 不 我 低 經濟 經濟 不能 ,0.5
這 說 反對 這 影響 看出 知道 跟 法 規則 想 沒 <X> 繼續 破壞 <MUMBLE> 違法 違法 抗爭 合理 好像 經常 繼續 能 逼 政府 請 ,這 說 反對 這 影響 留 開會 跟 法 規則 想 沒 <X> 繼續 環境 <MUMBLE> 安全 安全 安全 家 好像 歐洲 繼續 能 學校 政府 調查 ,0.6296296296296297
香港 安全 法 規則 開始 完 基本 法 規則 委員 會 負責 名字 C 說 ,香港 安全 法 規則 開始 完 基本 法 規則 委員 會 負責 名字 C 說 ,1.0
新加坡 國 會 選 選 決定 完 負責 名字 龍 帶領 人民 團體 保護 全部 這 位置 位置 夠 六 <MUMBLE> 百分比 投票 歷史 裡面 最 低,昨天 國 會 選 選 決定 完 負責 名字 L C 澳門 暫時 保護 全部 這 餐廳 接受 接受 六 <MUMBLE> 百分比 投票 接受 發現 最 低,0.6296296296296297
有 另 八 以前 証實 肺 發炎 家 人 設障 監督 完成 不能 ,有 另 八 以前 証實 肺 發炎 家 人 戴口罩 經濟 期間 不能 ,0.7692307692307693
部分 工作 如果 能 家 裡面 工作 ,部分 工作 如果 能 家 裡面 工作 ,1.0
經濟 發展 屋 說 因為 肺 發炎 情況 真 決定 星期 三 開始 <BAD> 書 大排檔 這 延後 有 部分 書 經濟 說 退 退 <MUMBLE> 但是 感覺 這 好 遲 ,經濟 冠冕 屋 說 空氣 肺 發炎 情況 真 決定 星期 三 開始 <BAD> 安全 期間 這 電腦 有 部分 部分 經濟 說 最後 <MUMBLE> 但是 感覺 這 好 最後 ,0.5483870967741935
因為 這 說 地方 窄 ,因為 這 說 地方 健康 ,0.8
旺角 美容 某些 想 現在 停 想 以前 早 約 不 失敗,昨天 明天 某些 想 現在 停 想 以前 某人 下 不 低,0.5833333333333334
三 七 另 晚上 証實 肺 炎,三 七 另 晚上 証實 肺 炎,1.0
多 自 戴口罩 自覺 進來 我 全部 <MUMBLE> 空氣流通 能,多 自 風 接觸 接觸 我 全部 <MUMBLE> 低 能,0.6
拆 屋 賠償 負責 要 搬 如何 正常,昨天 屋 明天 負責 要 分開 如何 低,0.5
好像 區域 政府 這 香港 帶領 內地 內地 合資 香港 合資 公司 看 情況 甚麼 公司 大 小 環境 怎樣 我 真 審視 評估 能,好像 區域 政府 這 香港 澳門 內地 內地 澳門 香港 澳門 公司 看 情況 甚麼 公司 大 接受 環境 怎樣 我 真 餐廳 接受 能,0.76
錢 委員 會 項目 未 這些 決定 全部 換 完 準備 再 安排 諮詢 諮詢 開會 情況 要,錢 委員 會 船 買 裡面 決定 全部 大家 完 準備 再 安排 少 暫時 開會 情況 要,0.6666666666666666
環保 屋 說 空氣 質素 健康 指屏幕,昨天 屋 說 空氣 質素 健康 健康,0.7142857142857143
參加 有關 立 法 功能 選舉 希望 政府,昨天 有關 開 法 控制 等 希望 政府,0.5
